SOC[-] Voltage[V]
4.661072994807353292e-03 1.388954446153343181e-01
5.661072994807353313e-03 1.368605252343568224e-01
6.661072994807353334e-03 1.319803879810901859e-01
7.661072994807353355e-03 1.248751842583128574e-01
8.661072994807353376e-03 1.169747536948798350e-01
9.661072994807354264e-03 1.082504211222058144e-01
1.066107299480735342e-02 9.895120426894800369e-02
1.166107299480735257e-02 9.012011398939921702e-02
1.266107299480735346e-02 8.295194458779588109e-02
1.366107299480735435e-02 7.822291337753677076e-02
1.466107299480735350e-02 7.469526931407563519e-02
1.566107299480735265e-02 7.162722069861274243e-02
1.666107299480735354e-02 6.927687893572646860e-02
1.766107299480735443e-02 6.695186390323942804e-02
1.866107299480735532e-02 6.497479315469445460e-02
1.966107299480735274e-02 6.272934880774709565e-02
2.066107299480735363e-02 6.112106289033681500e-02
2.166107299480735451e-02 5.954695664906648617e-02
2.266107299480735540e-02 5.769759142517250777e-02
2.366107299480735282e-02 5.654698610607102049e-02
2.466107299480735371e-02 5.528271111679623762e-02
2.566107299480735460e-02 5.378819093236052173e-02
2.666107299480735202e-02 5.293516150909136075e-02
2.766107299480735290e-02 5.148262970386758425e-02
2.866107299480735379e-02 5.082799320952927080e-02
2.966107299480735468e-02 4.951429285391668877e-02
3.066107299480735557e-02 4.901070097457295438e-02
3.166107299480735299e-02 4.789025696300132362e-02
3.266107299480735388e-02 4.678367615180377415e-02
3.366107299480735476e-02 4.599976493403300920e-02
3.466107299480734871e-02 4.521308045066371045e-02
3.566107299480734960e-02 4.475001144776252077e-02
3.666107299480735049e-02 4.366696140003022836e-02
3.766107299480735138e-02 4.320310993484645368e-02
3.866107299480735227e-02 4.212716650519268691e-02
3.966107299480735315e-02 4.167633018153037161e-02
4.066107299480735404e-02 4.091269336713685562e-02
4.166107299480735493e-02 4.015268233564074640e-02
4.266107299480735582e-02 3.970647467390244628e-02
4.366107299480735671e-02 3.896098616506697004e-02
4.466107299480735759e-02 3.821255410740559411e-02
4.566107299480735848e-02 3.778317740104784883e-02
4.666107299480735937e-02 3.704387497353354985e-02
4.766107299480736026e-02 3.661561747310088100e-02
4.866107299480734727e-02 3.619401069908417118e-02
4.966107299480734816e-02 3.514885367325723542e-02
5.066107299480734905e-02 3.484111287493397296e-02
5.166107299480734993e-02 3.429765679593492489e-02
5.266107299480735082e-02 3.357270387542075907e-02
5.366107299480735171e-02 3.346209601698955927e-02
5.466107299480735260e-02 3.241839522432109905e-02
5.566107299480735349e-02 3.199798410598986981e-02
5.666107299480735437e-02 3.163232091404188234e-02
5.766107299480735526e-02 3.095055024562907292e-02
5.866107299480735615e-02 3.067721787537038697e-02
5.966107299480735704e-02 3.002765987260363686e-02
6.066107299480735793e-02 2.951585606917979041e-02
6.166107299480735882e-02 2.904049498473341290e-02
6.266107299480735970e-02 2.824172350937123946e-02
6.366107299480736059e-02 2.751855375703235115e-02
6.466107299480734760e-02 2.680279122657384591e-02
6.566107299480734849e-02 2.613634892246318592e-02
6.666107299480734938e-02 2.527185753197636747e-02
6.766107299480735027e-02 2.421043013157486712e-02
6.866107299480735116e-02 2.350234045258230153e-02
6.966107299480735204e-02 2.258836947415329699e-02
7.066107299480735293e-02 2.183855978113388024e-02
7.166107299480735382e-02 2.087329945126293815e-02
7.266107299480735471e-02 2.031341842942901987e-02
7.366107299480735560e-02 1.959309485491576158e-02
7.466107299480735648e-02 1.916199117627775256e-02
7.566107299480735737e-02 1.850649449347110953e-02
7.666107299480735826e-02 1.794185314741662124e-02
7.766107299480734527e-02 1.741519445599214871e-02
7.866107299480734616e-02 1.722277486175426142e-02
7.966107299480734705e-02 1.675877932971343506e-02
8.066107299480734794e-02 1.634759280363050349e-02
8.166107299480734882e-02 1.599845604327765694e-02
8.266107299480734971e-02 1.556583735718140848e-02
8.366107299480735060e-02 1.552070717505648657e-02
8.466107299480735149e-02 1.521973492833785663e-02
8.566107299480735238e-02 1.483948720147373022e-02
8.666107299480735326e-02 1.461077085210126837e-02
8.766107299480735415e-02 1.427006157009554944e-02
8.866107299480735504e-02 1.434585031745382391e-02
8.966107299480735593e-02 1.408065935841705182e-02
9.066107299480735682e-02 1.382713577694494149e-02
9.166107299480735771e-02 1.364287119251730504e-02
9.266107299480734472e-02 1.334876369924859266e-02
9.366107299480734560e-02 1.348143916768231032e-02
9.466107299480734649e-02 1.330772965850428660e-02
9.566107299480734738e-02 1.310159069695509930e-02
9.666107299480734827e-02 1.287598763948380985e-02
9.766107299480734916e-02 1.274006690506303101e-02
9.866107299480735005e-02 1.262451708807338889e-02
9.966107299480735093e-02 1.277959072591602387e-02
1.006610729948073518e-01 1.259598646720723990e-02
1.016610729948073527e-01 1.243340563824904196e-02
1.026610729948073536e-01 1.230558451586375585e-02
1.036610729948073545e-01 1.221442486720388833e-02
1.046610729948073554e-01 1.211567543495584674e-02
1.056610729948073563e-01 1.203079178434700303e-02
1.066610729948073572e-01 1.225111469009698348e-02
1.076610729948073580e-01 1.216730651674333835e-02
1.086610729948073589e-01 1.208789101489583101e-02
1.096610729948073459e-01 1.201789921848376262e-02
1.106610729948073468e-01 1.194980041177132017e-02
1.116610729948073477e-01 1.188480667848170955e-02
1.126610729948073486e-01 1.184052844290408787e-02
1.136610729948073495e-01 1.207917923525929013e-02
1.146610729948073504e-01 1.203742179321307115e-02
1.156610729948073513e-01 1.199156380963222607e-02
1.166610729948073522e-01 1.194876392976630154e-02
1.176610729948073530e-01 1.190520685196725000e-02
1.186610729948073539e-01 1.187761952725168227e-02
1.196610729948073548e-01 1.186784569032033748e-02
1.206610729948073557e-01 1.216605040595595752e-02
1.216610729948073566e-01 1.219661826314950327e-02
1.226610729948073575e-01 1.222345984614503327e-02
1.236610729948073584e-01 1.221692634098553790e-02
1.246610729948073454e-01 1.220307041759679037e-02
1.256610729948073601e-01 1.219899152967082040e-02
1.266610729948073610e-01 1.253269032151865803e-02
1.276610729948073619e-01 1.258095706154472269e-02
1.286610729948073628e-01 1.263933851729098085e-02
1.296610729948073637e-01 1.264899629623096253e-02
1.306610729948073646e-01 1.296604039087924376e-02
1.316610729948073655e-01 1.299945545593345769e-02
1.326610729948073664e-01 1.305788256308142159e-02
1.336610729948073673e-01 1.313529912206831858e-02
1.346610729948073681e-01 1.346175877529594798e-02
1.356610729948073690e-01 1.346844942081634224e-02
1.366610729948073699e-01 1.353054309436174663e-02
1.376610729948073708e-01 1.394942384472779018e-02
1.386610729948073717e-01 1.399789004773992901e-02
1.396610729948073726e-01 1.400583676562700865e-02
1.406610729948073735e-01 1.432626467554700897e-02
1.416610729948073744e-01 1.438009090479908970e-02
1.426610729948073752e-01 1.474308798376296192e-02
1.436610729948073761e-01 1.479612630228393719e-02
1.446610729948073770e-01 1.512228389530810048e-02
1.456610729948073779e-01 1.511108910316670551e-02
1.466610729948073788e-01 1.541867329595652397e-02
1.476610729948073797e-01 1.538195995863998224e-02
1.486610729948073806e-01 1.564974892514146496e-02
1.496610729948073537e-01 1.560089582743694366e-02
1.506610729948073546e-01 1.585154876200249585e-02
1.516610729948073555e-01 1.576663382912374747e-02
1.526610729948073564e-01 1.595660576525233243e-02
1.536610729948073573e-01 1.577637070762330160e-02
1.546610729948073581e-01 1.592801687877545141e-02
1.556610729948073590e-01 1.580341735724459865e-02
1.566610729948073599e-01 1.589072806840294977e-02
1.576610729948073608e-01 1.598710862558482340e-02
1.586610729948073617e-01 1.580884932043318328e-02
1.596610729948073626e-01 1.581434380959672106e-02
1.606610729948073635e-01 1.563165190129166271e-02
1.616610729948073644e-01 1.559658325273721897e-02
1.626610729948073653e-01 1.572799191755802975e-02
1.636610729948073661e-01 1.536579910264799717e-02
1.646610729948073670e-01 1.546073887154625522e-02
1.656610729948073679e-01 1.544165049055527643e-02
1.666610729948073688e-01 1.519255832770295515e-02
1.676610729948073697e-01 1.520821943674400233e-02
1.686610729948073706e-01 1.494893446077412598e-02
1.696610729948073715e-01 1.498100219550633529e-02
1.706610729948073724e-01 1.502711822590708894e-02
1.716610729948073732e-01 1.476673313579294697e-02
1.726610729948073741e-01 1.485611535591260628e-02
1.736610729948073750e-01 1.457804956584050210e-02
1.746610729948073759e-01 1.472585531166032552e-02
1.756610729948073768e-01 1.444762800357511819e-02
1.766610729948073777e-01 1.455922713718655302e-02
1.776610729948073786e-01 1.434716930204194864e-02
1.786610729948073795e-01 1.440245156641140056e-02
1.796610729948073804e-01 1.422850358875757566e-02
1.806610729948073535e-01 1.422991882509904750e-02
1.816610729948073544e-01 1.403682349863720480e-02
1.826610729948073553e-01 1.407446579725638025e-02
1.836610729948073562e-01 1.413141724094702997e-02
1.846610729948073570e-01 1.383654341834517250e-02
1.856610729948073579e-01 1.390835050968462425e-02
1.866610729948073588e-01 1.360602076825716787e-02
1.876610729948073597e-01 1.369759113100508380e-02
1.886610729948073606e-01 1.341772861504932773e-02
1.896610729948073615e-01 1.348829318016669249e-02
1.906610729948073624e-01 1.354249539248030508e-02
1.916610729948073633e-01 1.330867228623492347e-02
1.926610729948073641e-01 1.341671067060951766e-02
1.936610729948073650e-01 1.348446674859405878e-02
1.946610729948073659e-01 1.333343826421514756e-02
1.956610729948073668e-01 1.345403008629318664e-02
1.966610729948073677e-01 1.358254515539738388e-02
1.976610729948073686e-01 1.342203970682885432e-02
1.986610729948073695e-01 1.362822949051678730e-02
1.996610729948073704e-01 1.345322282122515464e-02
2.006610729948073713e-01 1.357921738902314289e-02
2.016610729948073721e-01 1.346067821379256201e-02
2.026610729948073730e-01 1.336974444658926668e-02
2.036610729948073739e-01 1.361371418419093926e-02
2.046610729948073748e-01 1.353020959075820415e-02
2.056610729948073757e-01 1.375135812866437775e-02
2.066610729948073766e-01 1.361077559057957860e-02
2.076610729948073775e-01 1.348175584781392822e-02
2.086610729948073784e-01 1.335943492276828702e-02
2.096610729948073792e-01 1.355168808926691774e-02
2.106610729948073801e-01 1.349215580674535848e-02
2.116610729948073810e-01 1.344172019576626506e-02
2.126610729948073819e-01 1.368538166466305543e-02
2.136610729948073550e-01 1.363000471668465198e-02
2.146610729948073559e-01 1.388531209224447630e-02
2.156610729948073568e-01 1.384479346843318047e-02
2.166610729948073577e-01 1.379370350369754292e-02
2.176610729948073586e-01 1.405784208054228733e-02
2.186610729948073595e-01 1.401662239035431426e-02
2.196610729948073604e-01 1.429010318242808324e-02
2.206610729948073613e-01 1.425429477159923485e-02
2.216610729948073621e-01 1.452373729059218063e-02
2.226610729948073630e-01 1.480604799590400956e-02
2.236610729948073639e-01 1.476352819424892049e-02
2.246610729948073648e-01 1.504105391625262279e-02
2.256610729948073657e-01 1.500726557585539862e-02
2.266610729948073666e-01 1.528174642672456771e-02
2.276610729948073675e-01 1.555631840499836424e-02
2.286610729948073684e-01 1.583770592474638764e-02
2.296610729948073693e-01 1.580078577043468602e-02
2.306610729948073701e-01 1.607142851804246528e-02
2.316610729948073710e-01 1.602774852719949031e-02
2.326610729948073719e-01 1.630162739437946567e-02
2.336610729948073728e-01 1.653430284618343654e-02
2.346610729948073737e-01 1.640713924871124718e-02
2.356610729948073746e-01 1.631862108554923974e-02
2.366610729948073755e-01 1.650385069646381417e-02
2.376610729948073764e-01 1.640227991168285299e-02
2.386610729948073772e-01 1.630110769934526443e-02
2.396610729948073781e-01 1.622164807876106188e-02
2.406610729948073790e-01 1.613571494542748175e-02
2.416610729948073799e-01 1.605229560258112503e-02
2.426610729948073808e-01 1.597260728534865767e-02
2.436610729948073817e-01 1.588344780617353610e-02
2.446610729948073548e-01 1.580599613294225367e-02
2.456610729948073557e-01 1.571346094381760941e-02
2.466610729948073566e-01 1.563030760966194199e-02
2.476610729948073575e-01 1.554108015188057808e-02
2.486610729948073584e-01 1.546311153454007527e-02
2.496610729948073593e-01 1.538299383283583607e-02
2.506610729948073324e-01 1.529940987418058201e-02
2.516610729948073333e-01 1.522074070127746315e-02
2.526610729948073342e-01 1.513851524905203416e-02
2.536610729948073351e-01 1.505027968324111447e-02
2.546610729948073359e-01 1.497614714883275210e-02
2.556610729948073368e-01 1.459204812542839146e-02
2.566610729948073377e-01 1.451258238977197815e-02
2.576610729948073386e-01 1.444125628982010322e-02
2.586610729948073395e-01 1.439745473177845257e-02
2.596610729948073404e-01 1.433995966114980612e-02
2.606610729948073413e-01 1.433561804984083247e-02
2.616610729948073422e-01 1.428336883377232837e-02
2.626610729948073431e-01 1.427911997224464401e-02
2.636610729948073439e-01 1.423952345945735977e-02
2.646610729948073448e-01 1.417999759929352947e-02
2.656610729948073457e-01 1.410895695276121777e-02
2.666610729948073466e-01 1.372589454165063297e-02
2.676610729948073475e-01 1.367079461790399360e-02
2.686610729948073484e-01 1.361209873699499411e-02
2.696610729948073493e-01 1.353901922067598206e-02
2.706610729948073502e-01 1.348131844043791785e-02
2.716610729948073510e-01 1.345726094949986802e-02
2.726610729948073519e-01 1.348482845425678575e-02
2.736610729948073528e-01 1.349778522253518472e-02
2.746610729948073537e-01 1.315229853765231306e-02
2.756610729948073546e-01 1.309367133327350545e-02
2.766610729948073555e-01 1.303857921886674397e-02
2.776610729948073564e-01 1.298095701552983913e-02
2.786610729948073573e-01 1.292220829936286536e-02
2.796610729948073581e-01 1.293657032725377583e-02
2.806610729948073590e-01 1.270482394077907841e-02
2.816610729948073599e-01 1.268251949403702457e-02
2.826610729948073608e-01 1.263364075102845104e-02
2.836610729948073617e-01 1.257872021398497887e-02
2.846610729948073626e-01 1.253200835615871263e-02
2.856610729948073635e-01 1.251566696671215992e-02
2.866610729948073644e-01 1.229219217325135116e-02
2.876610729948073653e-01 1.229732716983517049e-02
2.886610729948073661e-01 1.225274086971740034e-02
2.896610729948073670e-01 1.220201350154002246e-02
2.906610729948073679e-01 1.215542117778113662e-02
2.916610729948073688e-01 1.225046011865151691e-02
2.926610729948073697e-01 1.199302979630556369e-02
2.936610729948073151e-01 1.193695515577792264e-02
2.946610729948073160e-01 1.188927344616013196e-02
2.956610729948073168e-01 1.184432235914573486e-02
2.966610729948073177e-01 1.191206561274975664e-02
2.976610729948073186e-01 1.198914430669037814e-02
2.986610729948073195e-01 1.163202672013039819e-02
2.996610729948073204e-01 1.158807726488384968e-02
3.006610729948073213e-01 1.154245151127452143e-02
3.016610729948073222e-01 1.162904526285001364e-02
3.026610729948073231e-01 1.168933564208919119e-02
3.036610729948073240e-01 1.133796959884602988e-02
3.046610729948073248e-01 1.130324564278907887e-02
3.056610729948073257e-01 1.135637794355306984e-02
3.066610729948073266e-01 1.146177170298687958e-02
3.076610729948073275e-01 1.142229176974115037e-02
3.086610729948073284e-01 1.107569503867534937e-02
3.096610729948073293e-01 1.108828022836178158e-02
3.106610729948073302e-01 1.123702934023094666e-02
3.116610729948073311e-01 1.120897225898943340e-02
3.126610729948073319e-01 1.118401920121004853e-02
3.136610729948073328e-01 1.094830122227313102e-02
3.146610729948073337e-01 1.104618213996309307e-02
3.156610729948073346e-01 1.101605724989394679e-02
3.166610729948073355e-01 1.101895483384942101e-02
3.176610729948073364e-01 1.115908734821095989e-02
3.186610729948073373e-01 1.085298104793946602e-02
3.196610729948073382e-01 1.082665223193589495e-02
3.206610729948073391e-01 1.088234659549198145e-02
3.216610729948073399e-01 1.101270777321633476e-02
3.226610729948073408e-01 1.067375525855868493e-02
3.236610729948073417e-01 1.066413106409390757e-02
3.246610729948073426e-01 1.086457420457281886e-02
3.256610729948073435e-01 1.084096383392488781e-02
3.266610729948073444e-01 1.081855244068174147e-02
3.276610729948073453e-01 1.069552333951242010e-02
3.286610729948073462e-01 1.070389591001094307e-02
3.296610729948073470e-01 1.067501350520387929e-02
3.306610729948073479e-01 1.086764100630534767e-02
3.316610729948073488e-01 1.055718896903090273e-02
3.326610729948073497e-01 1.053509458800863316e-02
3.336610729948073506e-01 1.067265975744976537e-02
3.346610729948073515e-01 1.072854645038978476e-02
3.356610729948073524e-01 1.071709724087213482e-02
3.366610729948073533e-01 1.052737311650435090e-02
3.376610729948073542e-01 1.060783897910050691e-02
3.386610729948073550e-01 1.060140125185944290e-02
3.396610729948073559e-01 1.074421762153679114e-02
3.406610729948073568e-01 1.047623871131554522e-02
3.416610729948073577e-01 1.046586375558536050e-02
3.426610729948073586e-01 1.061875290624266117e-02
3.436610729948073595e-01 1.066298837391104794e-02
3.446610729948073604e-01 1.064654143764346382e-02
3.456610729948073613e-01 1.050994757274565858e-02
3.466610729948073621e-01 1.053440372289060102e-02
3.476610729948073630e-01 1.051893798590799664e-02
3.486610729948073639e-01 1.073330773111410945e-02
3.496610729948073648e-01 1.041080604156786708e-02
3.506610729948073657e-01 1.039143282199938775e-02
3.516610729948073666e-01 1.058093301871667821e-02
3.526610729948073675e-01 1.059473272167269983e-02
3.536610729948073684e-01 1.058527234608300227e-02
3.546610729948073693e-01 1.050125412276202083e-02
3.556610729948073701e-01 1.048010060886053925e-02
3.566610729948073155e-01 1.051654204771102809e-02
3.576610729948073164e-01 1.069059347902293587e-02
3.586610729948073173e-01 1.035987112291695753e-02
3.596610729948073182e-01 1.040052029675234656e-02
3.606610729948073191e-01 1.055918938354670836e-02
3.616610729948073200e-01 1.054943644041168166e-02
3.626610729948073208e-01 1.062841998181465915e-02
3.636610729948073217e-01 1.044188009425170080e-02
3.646610729948073226e-01 1.043552384562008301e-02
3.656610729948073235e-01 1.054859422939671311e-02
3.666610729948073244e-01 1.063686343442395849e-02
3.676610729948073253e-01 1.063277644864956545e-02
3.686610729948073262e-01 1.047343122244365037e-02
3.696610729948073271e-01 1.053005757083110353e-02
3.706610729948073280e-01 1.051112076175650216e-02
3.716610729948073288e-01 1.069905763420456353e-02
3.726610729948073297e-01 1.040807969105708199e-02
3.736610729948073306e-01 1.038774407120308767e-02
3.746610729948073315e-01 1.062089279366500681e-02
3.756610729948073324e-01 1.060718796515857341e-02
3.766610729948073333e-01 1.061833801204693437e-02
3.776610729948073342e-01 1.049815140268401531e-02
3.786610729948073351e-01 1.049236685451114710e-02
3.796610729948073359e-01 1.050716064511561867e-02
3.806610729948073368e-01 1.069402722088489029e-02
3.816610729948073377e-01 1.068652654085599368e-02
3.826610729948073386e-01 1.044152753451498862e-02
3.836610729948073395e-01 1.058484677799742708e-02
3.846610729948073404e-01 1.056969765580743036e-02
3.856610729948073413e-01 1.059210061880958183e-02
3.866610729948073422e-01 1.076633706073653295e-02
3.876610729948073431e-01 1.044388847527170580e-02
3.886610729948073439e-01 1.052846180566348322e-02
3.896610729948073448e-01 1.064944741130784654e-02
3.906610729948073457e-01 1.063538404810833449e-02
3.916610729948073466e-01 1.069097359050056109e-02
3.926610729948073475e-01 1.052077960661154145e-02
3.936610729948073484e-01 1.050839438801585805e-02
3.946610729948073493e-01 1.054938881751422801e-02
3.956610729948073502e-01 1.070982769332158580e-02
3.966610729948073510e-01 1.069529726285873075e-02
3.976610729948073519e-01 1.071286678215983487e-02
3.986610729948073528e-01 1.089589112342855513e-02
3.996610729948073537e-01 1.056971975662327097e-02
4.006610729948073546e-01 1.054799217040272227e-02
4.016610729948073555e-01 1.075620427736339452e-02
4.026610729948073564e-01 1.074413272502488387e-02
4.036610729948073573e-01 1.073212353119788569e-02
4.046610729948073581e-01 1.093565909225208133e-02
4.056610729948073590e-01 1.062853461253098451e-02
4.066610729948073599e-01 1.060214069831499732e-02
4.076610729948073608e-01 1.068360812997116299e-02
4.086610729948073617e-01 1.079105862083724714e-02
4.096610729948073626e-01 1.077372378304380582e-02
4.106610729948073635e-01 1.075766839086872949e-02
4.116610729948073644e-01 1.097587349409514038e-02
4.126610729948073653e-01 1.096425144947170416e-02
4.136610729948073661e-01 1.063370449895546625e-02
4.146610729948073670e-01 1.076726731124199449e-02
4.156610729948073679e-01 1.081793154186379974e-02
4.166610729948073688e-01 1.079692827162261927e-02
4.176610729948073697e-01 1.080751690011720785e-02
4.186610729948073706e-01 1.097769363457655294e-02
4.196610729948073715e-01 1.097541944510157901e-02
4.206610729948073724e-01 1.095569761332353641e-02
4.216610729948073177e-01 1.105922907706644726e-02
4.226610729948073186e-01 1.082440230913107350e-02
4.236610729948073195e-01 1.080355952956961116e-02
4.246610729948073204e-01 1.077711781959897128e-02
4.256610729948073213e-01 1.088918134120922358e-02
4.266610729948073222e-01 1.097125807740121674e-02
4.276610729948073231e-01 1.094221325384978592e-02
4.286610729948073240e-01 1.091838507618467756e-02
4.296610729948073248e-01 1.103526053473251507e-02
4.306610729948073257e-01 1.109965943696170076e-02
4.316610729948073266e-01 1.107604512187617719e-02
4.326610729948073275e-01 1.105716495059232314e-02
4.336610729948073284e-01 1.113025060986183243e-02
4.346610729948073293e-01 1.122438789268881063e-02
4.356610729948073302e-01 1.119512674203451685e-02
4.366610729948073311e-01 1.116433560199175251e-02
4.376610729948073319e-01 1.113740709444437094e-02
4.386610729948073328e-01 1.129252431619852393e-02
4.396610729948073337e-01 1.132133358337023346e-02
4.406610729948073346e-01 1.128130107256902250e-02
4.416610729948073355e-01 1.125878828139184433e-02
4.426610729948073364e-01 1.128586340610036182e-02
4.436610729948073373e-01 1.139629164548614480e-02
4.446610729948073382e-01 1.139055055493963693e-02
4.456610729948073391e-01 1.136261384530553101e-02
4.466610729948073399e-01 1.133595872999376350e-02
4.476610729948073408e-01 1.133994798758067128e-02
4.486610729948073417e-01 1.140662203154897691e-02
4.496610729948073426e-01 1.146313490739930829e-02
4.506610729948073435e-01 1.143526544015639919e-02
4.516610729948073444e-01 1.139888936055967819e-02
4.526610729948073453e-01 1.135570904954329337e-02
4.536610729948073462e-01 1.133912602606096734e-02
4.546610729948073470e-01 1.141161173816317327e-02
4.556610729948073479e-01 1.147650369052507884e-02
4.566610729948073488e-01 1.143752212260460560e-02
4.576610729948073497e-01 1.140703662613623201e-02
4.586610729948073506e-01 1.136771631317515067e-02
4.596610729948073515e-01 1.164942699665652906e-02
4.606610729948073524e-01 1.161699010697338913e-02
4.616610729948073533e-01 1.165298323723800399e-02
4.626610729948073542e-01 1.166998458103080290e-02
4.636610729948073550e-01 1.170588000442103309e-02
