SOC[-] Voltage[V]
4.661072994807353292e-03 2.638888444615334450e+00
5.661072994807353313e-03 2.682054525886751417e+00
6.661072994807353334e-03 2.718772642256587435e+00
7.661072994807353355e-03 2.751648679719226109e+00
8.661072994807353376e-03 2.782795490341255729e+00
9.661072994807354264e-03 2.812526381610354509e+00
1.066107299480735342e-02 2.841293717957536380e+00
1.166107299480735257e-02 2.868105275465057780e+00
1.266107299480735346e-02 2.892382445361930010e+00
1.366107299480735435e-02 2.913401772255060251e+00
1.466107299480735350e-02 2.932409260665164386e+00
1.566107299480735265e-02 2.949566558958097051e+00
1.666107299480735354e-02 2.965868426897414700e+00
1.766107299480735443e-02 2.981365689359392501e+00
1.866107299480735532e-02 2.995791396105310866e+00
1.966107299480735274e-02 3.009763763160951289e+00
2.066107299480735363e-02 3.022966195892057062e+00
2.166107299480735451e-02 3.035450691751386376e+00
2.266107299480735540e-02 3.047503610799241702e+00
2.366107299480735282e-02 3.058920588139411922e+00
2.466107299480735371e-02 3.070106014057921051e+00
2.566107299480735460e-02 3.080950388429960274e+00
2.666107299480735202e-02 3.091097208169129917e+00
2.766107299480735290e-02 3.101175013960360882e+00
2.866107299480735379e-02 3.110756795062477043e+00
2.966107299480735468e-02 3.120213125677437471e+00
3.066107299480735557e-02 3.129177234051231160e+00
3.166107299480735299e-02 3.138076169056771114e+00
3.266107299480735388e-02 3.146312526364988926e+00
3.366107299480735476e-02 3.154822106463385456e+00
3.466107299480734871e-02 3.162655343656480156e+00
3.566107299480734960e-02 3.170759515144919050e+00
3.666107299480735049e-02 3.178199402141542063e+00
3.766107299480735138e-02 3.185592806492064000e+00
3.866107299480735227e-02 3.192957227158242706e+00
3.966107299480735315e-02 3.200282353575522265e+00
4.066107299480735404e-02 3.207264172952394521e+00
4.166107299480735493e-02 3.213596918697814608e+00
4.266107299480735582e-02 3.220205721505482011e+00
4.366107299480735671e-02 3.227098420484890262e+00
4.466107299480735759e-02 3.233346263013125110e+00
4.566107299480735848e-02 3.239255375192812370e+00
4.666107299480735937e-02 3.245444092395771474e+00
4.766107299480736026e-02 3.251297356787587578e+00
4.866107299480734727e-02 3.257131007123165389e+00
4.966107299480734816e-02 3.262944029033250981e+00
5.066107299480734905e-02 3.268621665842128987e+00
5.166107299480734993e-02 3.273869023871723627e+00
5.266107299480735082e-02 3.279296107491605827e+00
5.366107299480735171e-02 3.284697068295477251e+00
5.466107299480735260e-02 3.289769196436550303e+00
5.566107299480735349e-02 3.294814770724442177e+00
5.666107299480735437e-02 3.299794617790250850e+00
5.766107299480735526e-02 3.304437168805914649e+00
5.866107299480735615e-02 3.309280181910332352e+00
5.966107299480735704e-02 3.313844124417944403e+00
6.066107299480735793e-02 3.318254916142167499e+00
6.166107299480735882e-02 3.322584405092863680e+00
6.266107299480735970e-02 3.326566123232103767e+00
6.366107299480736059e-02 3.330417077840867712e+00
6.466107299480734760e-02 3.334218779904090990e+00
6.566107299480734849e-02 3.337917686240023496e+00
6.666107299480734938e-02 3.341122120384736327e+00
6.766107299480735027e-02 3.343854764775567645e+00
6.866107299480735116e-02 3.346798435134622718e+00
6.966107299480735204e-02 3.349281041581627427e+00
7.066107299480735293e-02 3.351564496379999536e+00
7.166107299480735382e-02 3.353413267328923197e+00
7.266107299480735471e-02 3.355447139032901038e+00
7.366107299480735560e-02 3.357001044479727803e+00
7.466107299480735648e-02 3.358890583197498447e+00
7.566107299480735737e-02 3.360371453155919674e+00
7.666107299480735826e-02 3.361751193618712996e+00
7.766107299480734527e-02 3.363095814292432095e+00
7.866107299480734616e-02 3.364723908438248312e+00
7.966107299480734705e-02 3.365991998675368357e+00
8.066107299480734794e-02 3.367220188061365249e+00
8.166107299480734882e-02 3.368380324345189525e+00
8.266107299480734971e-02 3.369614465343152787e+00
8.366107299480735060e-02 3.371093428772034439e+00
8.466107299480735149e-02 3.372198366015068061e+00
8.566107299480735238e-02 3.373385372866400722e+00
8.666107299480735326e-02 3.374423539092207047e+00
8.766107299480735415e-02 3.375572825621301565e+00
8.866107299480735504e-02 3.376925292837760217e+00
8.966107299480735593e-02 3.378000434194469825e+00
9.066107299480735682e-02 3.379063767249974148e+00
9.166107299480735771e-02 3.380053253292889082e+00
9.266107299480734472e-02 3.381158891318080784e+00
9.366107299480734560e-02 3.382449774001968557e+00
9.466107299480734649e-02 3.383430202043317792e+00
9.566107299480734738e-02 3.384441614637717866e+00
9.666107299480734827e-02 3.385469019149187631e+00
9.766107299480734916e-02 3.386415665765124761e+00
9.866107299480735005e-02 3.387332315007630434e+00
9.966107299480735093e-02 3.388603970680655664e+00
1.006610729948073518e-01 3.389588177199353680e+00
1.016610729948073527e-01 3.390550004594580003e+00
1.026610729948073536e-01 3.391483698824343307e+00
1.036610729948073545e-01 3.392375640161691130e+00
1.046610729948073554e-01 3.393279348009386798e+00
1.056610729948073563e-01 3.394159652133589944e+00
1.066610729948073572e-01 3.395363584146167124e+00
1.076610729948073580e-01 3.396243561490388974e+00
1.086610729948073589e-01 3.397122132430520747e+00
1.096610729948073459e-01 3.397991876558798641e+00
1.106610729948073468e-01 3.398857142761766426e+00
1.116610729948073477e-01 3.399719151453305166e+00
1.126610729948073486e-01 3.400569375770170488e+00
1.136610729948073495e-01 3.401748264216111206e+00
1.146610729948073504e-01 3.402587544956398702e+00
1.156610729948073513e-01 3.403434263859840048e+00
1.166610729948073522e-01 3.404277664137995263e+00
1.176610729948073530e-01 3.405121007169897851e+00
1.186610729948073539e-01 3.405945001024601737e+00
1.196610729948073548e-01 3.406755995962619465e+00
1.206610729948073557e-01 3.407884016099010260e+00
1.216610729948073566e-01 3.408652338511017454e+00
1.226610729948073575e-01 3.409427687444903210e+00
1.236610729948073584e-01 3.410240479589703888e+00
1.246610729948073454e-01 3.411067846042251439e+00
1.256610729948073601e-01 3.411876895731679848e+00
1.266610729948073610e-01 3.412974600219975230e+00
1.276610729948073619e-01 3.413737222615637723e+00
1.286610729948073628e-01 3.414487210048458010e+00
1.296610729948073637e-01 3.415287576343098319e+00
1.306610729948073646e-01 3.416408526443635463e+00
1.316610729948073655e-01 3.417200825475053438e+00
1.326610729948073664e-01 3.417961748182762882e+00
1.336610729948073673e-01 3.418706220786031036e+00
1.346610729948073681e-01 3.419822711868317100e+00
1.356610729948073690e-01 3.420647750764465922e+00
1.366610729948073699e-01 3.421419862871592166e+00
1.376610729948073708e-01 3.422464429479406878e+00
1.386610729948073717e-01 3.423253405930781756e+00
1.396610729948073726e-01 3.424070538982640688e+00
1.406610729948073735e-01 3.425209237723322531e+00
1.416610729948073744e-01 3.425997695227392725e+00
1.426610729948073752e-01 3.427107850389137678e+00
1.436610729948073761e-01 3.427903218403423935e+00
1.446610729948073770e-01 3.429039798928023242e+00
1.456610729948073779e-01 3.429909442677955500e+00
1.466610729948073788e-01 3.431074440540425652e+00
1.476610729948073797e-01 3.431962820627405097e+00
1.486610729948073806e-01 3.433169369752253619e+00
1.496610729948073537e-01 3.434087119919624786e+00
1.506610729948073546e-01 3.435316806860376548e+00
1.516610729948073555e-01 3.436260409524614090e+00
1.526610729948073564e-01 3.437556351370729235e+00
1.536610729948073573e-01 3.438600553899663126e+00
1.546610729948073581e-01 3.439935353984243882e+00
1.556610729948073590e-01 3.440930140296184714e+00
1.566610729948073599e-01 3.442332396347477896e+00
1.576610729948073608e-01 3.443730040948143056e+00
1.586610729948073617e-01 3.444777093638439869e+00
1.596610729948073626e-01 3.446269544514175109e+00
1.606610729948073635e-01 3.447326926833046645e+00
1.616610729948073644e-01 3.448857797330429964e+00
1.626610729948073653e-01 3.450220035631267113e+00
1.636610729948073661e-01 3.451458260970125647e+00
1.646610729948073670e-01 3.452863266201426029e+00
1.656610729948073679e-01 3.454377107180592432e+00
1.666610729948073688e-01 3.455504075957863463e+00
1.676610729948073697e-01 3.456987403896820688e+00
1.686610729948073706e-01 3.458119293033067976e+00
1.696610729948073715e-01 3.459584959296128748e+00
1.706610729948073724e-01 3.461024115493729791e+00
1.716610729948073732e-01 3.462152504806807141e+00
1.726610729948073741e-01 3.463549764853574686e+00
1.736610729948073750e-01 3.464694815230442870e+00
1.746610729948073759e-01 3.466026568055935009e+00
1.756610729948073768e-01 3.467168790331255135e+00
1.766610729948073777e-01 3.468532904392895411e+00
1.776610729948073786e-01 3.469604384579031198e+00
1.786610729948073795e-01 3.471027625943141182e+00
1.796610729948073804e-01 3.472058706747552570e+00
1.806610729948073535e-01 3.473536972785801424e+00
1.816610729948073544e-01 3.474594416067971814e+00
1.826610729948073553e-01 3.476045630722314872e+00
1.836610729948073562e-01 3.477467822349010973e+00
1.846610729948073570e-01 3.478629675283529732e+00
1.856610729948073579e-01 3.480046760544357465e+00
1.866610729948073588e-01 3.481215292552978458e+00
1.876610729948073597e-01 3.482621821093002445e+00
1.886610729948073606e-01 3.483770631064925460e+00
1.896610729948073615e-01 3.485199027775419012e+00
1.906610729948073624e-01 3.486647041435567029e+00
1.916610729948073633e-01 3.487752632500518146e+00
1.926610729948073641e-01 3.489146687201226893e+00
1.936610729948073650e-01 3.490581239316327355e+00
1.946610729948073659e-01 3.491608010097939641e+00
1.956610729948073668e-01 3.492988121713577865e+00
1.966610729948073677e-01 3.494349270625068282e+00
1.976610729948073686e-01 3.495386225972329619e+00
1.986610729948073695e-01 3.496665541110279385e+00
1.996610729948073704e-01 3.497692656588017535e+00
2.006610729948073713e-01 3.499042423215554809e+00
2.016610729948073721e-01 3.500005684409962736e+00
2.026610729948073730e-01 3.500930168683191290e+00
2.036610729948073739e-01 3.502143062108370231e+00
2.046610729948073748e-01 3.503059397402020547e+00
2.056610729948073757e-01 3.504287348067595342e+00
2.066610729948073766e-01 3.505253680499259783e+00
2.076610729948073775e-01 3.506207652350964210e+00
2.086610729948073784e-01 3.507154899683350813e+00
2.096610729948073792e-01 3.508411436787678195e+00
2.106610729948073801e-01 3.509305281071156024e+00
2.116610729948073810e-01 3.510186661710451350e+00
2.126610729948073819e-01 3.511391337340774133e+00
2.136610729948073550e-01 3.512287011628221656e+00
2.146610729948073559e-01 3.513487571490541139e+00
2.156610729948073568e-01 3.514373518843018740e+00
2.166610729948073577e-01 3.515274051646589903e+00
2.176610729948073586e-01 3.516478798042872889e+00
2.186610729948073595e-01 3.517370428743626043e+00
2.196610729948073604e-01 3.518579262253862083e+00
2.206610729948073613e-01 3.519484610373863287e+00
2.216610729948073621e-01 3.520698586804186903e+00
2.226610729948073630e-01 3.521906581491410115e+00
2.236610729948073639e-01 3.522823094392999899e+00
2.246610729948073648e-01 3.524043787963719865e+00
2.256610729948073657e-01 3.524957089683438571e+00
2.266610729948073666e-01 3.526185810749409733e+00
2.276610729948073675e-01 3.527416682789160429e+00
2.286610729948073684e-01 3.528640839823735664e+00
2.296610729948073693e-01 3.529558621220059145e+00
2.306610729948073701e-01 3.530788267431506089e+00
2.316610729948073710e-01 3.531707258852063269e+00
2.326610729948073719e-01 3.532922501154107220e+00
2.336610729948073728e-01 3.534175424975450230e+00
2.346610729948073737e-01 3.535147191363112285e+00
2.356610729948073746e-01 3.536073198816215957e+00
2.366610729948073755e-01 3.537333595550643306e+00
2.376610729948073764e-01 3.538246907409980935e+00
2.386610729948073772e-01 3.539152526156075673e+00
2.396610729948073781e-01 3.540024724536380507e+00
2.406610729948073790e-01 3.540897416324522151e+00
2.416610729948073799e-01 3.541758382379597503e+00
2.426610729948073808e-01 3.542620586615181200e+00
2.436610729948073817e-01 3.543491073316308970e+00
2.446610729948073548e-01 3.544336527080044874e+00
2.456610729948073557e-01 3.545199586963552640e+00
2.466610729948073566e-01 3.546050783788298855e+00
2.476610729948073575e-01 3.546908173061728675e+00
2.486610729948073584e-01 3.547759349273922336e+00
2.496610729948073593e-01 3.548607039688238984e+00
2.506610729948073324e-01 3.549451218277355657e+00
2.516610729948073333e-01 3.550292536937925902e+00
2.526610729948073342e-01 3.551140593330726070e+00
2.536610729948073351e-01 3.551987238331564267e+00
2.546610729948073359e-01 3.552832793864051819e+00
2.556610729948073368e-01 3.553360219196277647e+00
2.566610729948073377e-01 3.554206482167714842e+00
2.576610729948073386e-01 3.555040855971633995e+00
2.586610729948073395e-01 3.555846757981287798e+00
2.596610729948073404e-01 3.556671317599982451e+00
2.606610729948073413e-01 3.557440056285066099e+00
2.616610729948073422e-01 3.558255484410964620e+00
2.626610729948073431e-01 3.559025327240727066e+00
2.636610729948073439e-01 3.559824089280402504e+00
2.646610729948073448e-01 3.560642154594890307e+00
2.656610729948073457e-01 3.561481223213168956e+00
2.666610729948073466e-01 3.562000693184264932e+00
2.676610729948073475e-01 3.562814205885739494e+00
2.686610729948073484e-01 3.563635148161424571e+00
2.696610729948073493e-01 3.564465244691242152e+00
2.706610729948073502e-01 3.565279050087210688e+00
2.716610729948073510e-01 3.566061078505583737e+00
2.726610729948073519e-01 3.566789109034460559e+00
2.736610729948073528e-01 3.567536297084335839e+00
2.746610729948073537e-01 3.568015659402336670e+00
2.756610729948073546e-01 3.568827989539868906e+00
2.766610729948073555e-01 3.569638365104441213e+00
2.776610729948073564e-01 3.570449043132572164e+00
2.786610729948073573e-01 3.571260354980893670e+00
2.796610729948073581e-01 3.572000818343947781e+00
2.806610729948073590e-01 3.572367143424150626e+00
2.816610729948073599e-01 3.573143608077038902e+00
2.826610729948073608e-01 3.573943212378431600e+00
2.836610729948073617e-01 3.574751837951520628e+00
2.846610729948073626e-01 3.575548541221071019e+00
2.856610729948073635e-01 3.576310842914101062e+00
2.866610729948073644e-01 3.576668504679361593e+00
2.876610729948073653e-01 3.577411364393616733e+00
2.886610729948073661e-01 3.578210817725294035e+00
2.896610729948073670e-01 3.579014468377261338e+00
2.906610729948073679e-01 3.579810957189004661e+00
2.916610729948073688e-01 3.580467140004220727e+00
2.926610729948073697e-01 3.580849746142131806e+00
2.936610729948073151e-01 3.581659310069240210e+00
2.946610729948073160e-01 3.582457801898195182e+00
2.956610729948073168e-01 3.583250820680788262e+00
2.966610729948073177e-01 3.583929443045025476e+00
2.976610729948073186e-01 3.584600124918304154e+00
2.986610729948073195e-01 3.585086949571670623e+00
2.996610729948073204e-01 3.585876625973891230e+00
3.006610729948073213e-01 3.586669775203086719e+00
3.016610729948073222e-01 3.587332415974298083e+00
3.026610729948073231e-01 3.588017768862405532e+00
3.036610729948073240e-01 3.588492163472543517e+00
3.046610729948073248e-01 3.589277618484424170e+00
3.056610729948073257e-01 3.589974378017305234e+00
3.066610729948073266e-01 3.590614936282769065e+00
3.076610729948073275e-01 3.591396631311407628e+00
3.086610729948073284e-01 3.591866519490922727e+00
